npi,provider_first_name,provider_last_name,credential,specialty,group_practice,street_address,city,state,zip,phone,accepting_new_patients,plan_tiers_accepted,telehealth_available,languages_spoken,hospital_affiliation
1785826598,Ashley,Nguyen,PA-C,Oncology,Midwest Health Partners,6667 Oak Ave,Naperville,IL,60540,(343) 688-6301,Yes,"Bronze,Silver,Gold",No,English,Midwest Regional Medical Center
1579678614,Nancy,Lewis,MD,Infectious Disease,SilverShield Medical Group,4385 Medical Center Dr,Rockford,IL,61101,(263) 883-2936,No,Gold,Yes,English,N/A (outpatient only)
1639577241,Betty,Davis,MD,Radiology,Great Lakes Health System,3690 Maple Dr,Peoria,IL,61602,(356) 665-7121,No,"Bronze,Silver,Gold",Yes,"English,Spanish,Portuguese",University Medical Center
1961135562,Karen,Martin,MD,General Surgery,Midwest Health Partners,8709 University Ave,Champaign,IL,61820,(920) 570-2279,Yes,"Bronze,Silver,Gold",Yes,"English,Hindi",University Medical Center
1260902774,David,Clark,PA-C,Rheumatology,Midwest Health Partners,3465 Center Rd,Peoria,IL,61602,(293) 722-8298,Yes,"Bronze,Silver,Gold",Yes,"English,Hindi",Lake Shore Medical Center
1590483627,Carlos,Brown,PA-C,Rheumatology,Heartland Medical Associates,456 Health Plaza,Aurora,IL,60505,(203) 963-4570,Yes,"Bronze,Silver,Gold",Yes,"English,Mandarin",N/A (outpatient only)
1168461684,Wei,Brown,DO,Pain Management,Community Care Clinic,619 Lake Shore Dr,Evanston,IL,60201,(384) 987-3218,No,Gold,Yes,English,Lake Shore Medical Center
1503346325,Jennifer,Gonzalez,MD,Emergency Medicine,Independent Practice,2043 Maple Dr,Champaign,IL,61820,(602) 741-3086,Yes,"Bronze,Silver,Gold",Yes,"English,Mandarin",Lake Shore Medical Center
1823164961,Wei,Nguyen,PA-C,Endocrinology,Great Lakes Health System,4155 University Ave,Joliet,IL,60431,(358) 482-4088,Yes,"Bronze,Silver,Gold",Yes,"English,Hindi",Springfield General Hospital
1358413465,Karen,Jones,DO,Hematology,SilverShield Medical Group,7414 Center Rd,Springfield,IL,62701,(450) 958-1724,No,"Bronze,Silver,Gold",Yes,"English,Hindi",Midwest Regional Medical Center
1910015485,Patricia,Wilson,PA-C,Psychiatry,Great Lakes Health System,9538 Medical Center Dr,Decatur,IL,62521,(812) 991-6253,Yes,Gold,Yes,"English,French",University Medical Center
1337342839,Mark,Allen,MD,Internal Medicine,Prairie Regional Medical,7099 Commerce St,Peoria,IL,61602,(248) 552-7244,Yes,"Bronze,Silver,Gold",Yes,"English,Spanish",Prairie Community Hospital
1504221050,Susan,Gonzalez,NP,Neurology,Great Lakes Health System,5027 Maple Dr,Peoria,IL,61602,(259) 775-7761,No,"Bronze,Silver,Gold",Yes,English,Midwest Regional Medical Center
1373799489,Karen,Lewis,DO,Pain Management,Community Care Clinic,6179 Oak Ave,Champaign,IL,61820,(941) 395-1844,Yes,"Bronze,Silver,Gold",Yes,"English,Spanish,Portuguese",Springfield General Hospital
1302038796,Fatima,Perez,MD,Ophthalmology,Great Lakes Health System,5555 Lake Shore Dr,Springfield,IL,62701,(416) 394-2922,No,"Silver,Gold",Yes,English,Midwest Regional Medical Center
1692790631,Daniel,Young,MD,Rheumatology,Independent Practice,5153 Lake Shore Dr,Joliet,IL,60431,(725) 709-8635,Yes,"Bronze,Silver,Gold",No,"English,Spanish",Prairie Community Hospital
1435997460,Mark,Williams,MD,General Surgery,Great Lakes Health System,2490 Main St,Aurora,IL,60505,(766) 798-7841,Yes,"Silver,Gold",Yes,"English,Mandarin",Midwest Regional Medical Center
1507849850,Carlos,Martin,NP,Nephrology,Independent Practice,4316 University Ave,Peoria,IL,61602,(671) 372-6770,Yes,"Silver,Gold",Yes,"English,Spanish",University Medical Center
1789137659,Patricia,Lopez,MD,Plastic Surgery,Midwest Health Partners,894 Main St,Evanston,IL,60201,(340) 845-4791,Yes,"Silver,Gold",Yes,"English,Spanish",University Medical Center
1589636644,Sandra,Brown,MD,Emergency Medicine,Community Care Clinic,8093 Main St,Springfield,IL,62701,(744) 764-7739,Yes,"Bronze,Silver,Gold",No,"English,Hindi",Prairie Community Hospital
1118406723,Aisha,Nguyen,MD,OB/GYN,Midwest Health Partners,8691 Maple Dr,Rockford,IL,61101,(396) 834-9625,Yes,Gold,No,"English,Spanish,Portuguese",Lake Shore Medical Center
1184846271,Sandra,Patel,NP,Infectious Disease,Great Lakes Health System,3800 Lake Shore Dr,Chicago,IL,60601,(869) 865-1519,Yes,"Bronze,Silver,Gold",Yes,English,University Medical Center
1611106584,Patricia,Smith,MD,Pediatrics,Community Care Clinic,7209 Medical Center Dr,Decatur,IL,62521,(297) 740-1697,Yes,"Silver,Gold",Yes,"English,Mandarin",Springfield General Hospital
1179830621,Nancy,Gonzalez,MD,Urgent Care,SilverShield Medical Group,3038 Medical Center Dr,Springfield,IL,62701,(412) 801-3362,No,"Bronze,Silver,Gold",No,"English,Spanish",University Medical Center
1358205053,Carlos,King,PA-C,Oncology,University Health Associates,2392 Oak Ave,Champaign,IL,61820,(963) 554-1879,Yes,"Bronze,Silver,Gold",Yes,"English,Spanish,Portuguese",Springfield General Hospital
1465708674,Omar,Carter,MD,Endocrinology,Independent Practice,585 Lake Shore Dr,Peoria,IL,61602,(702) 433-6829,No,"Bronze,Silver,Gold",Yes,"English,French",University Medical Center
1809391059,Anthony,Garcia,MD,Psychiatry,Great Lakes Health System,1304 Oak Ave,Aurora,IL,60505,(357) 589-3527,No,Gold,No,English,Springfield General Hospital
1105578324,Betty,Kim,DO,Speech Therapy,Heartland Medical Associates,1774 Maple Dr,Chicago,IL,60601,(391) 641-8353,No,"Bronze,Silver,Gold",Yes,English,Prairie Community Hospital
1695088987,Jennifer,Nelson,MD,Allergy & Immunology,Independent Practice,6411 Main St,Aurora,IL,60505,(623) 597-2387,Yes,"Bronze,Silver,Gold",Yes,"English,French",Lake Shore Medical Center
1282001119,William,Moore,MD,Gastroenterology,Community Care Clinic,2490 Oak Ave,Naperville,IL,60540,(645) 482-7899,Yes,"Bronze,Silver,Gold",Yes,"English,Mandarin",Prairie Community Hospital
1364774064,Rahul,Nelson,MD,Dermatology,Community Care Clinic,1852 Maple Dr,Aurora,IL,60505,(206) 605-6443,No,Gold,Yes,"English,Mandarin",Lake Shore Medical Center
1975610118,Omar,Wilson,MD,Oncology,Great Lakes Health System,7948 Medical Center Dr,Naperville,IL,60540,(607) 526-5775,No,"Bronze,Silver,Gold",Yes,"English,Mandarin",Lake Shore Medical Center
1400969989,Ashley,Hall,DO,Pain Management,Great Lakes Health System,9803 Commerce St,Naperville,IL,60540,(898) 986-1440,No,"Silver,Gold",Yes,"English,Spanish,Portuguese",Prairie Community Hospital
1992582047,John,Gupta,NP,Cardiology,Heartland Medical Associates,4065 Lake Shore Dr,Naperville,IL,60540,(932) 633-7176,Yes,"Bronze,Silver,Gold",Yes,"English,Hindi",Lake Shore Medical Center
1673772626,Aisha,Gupta,PA-C,Internal Medicine,Independent Practice,8896 Center Rd,Chicago,IL,60601,(311) 987-5067,Yes,"Silver,Gold",Yes,"English,Hindi",N/A (outpatient only)
1827429909,Ashley,Lewis,MD,OB/GYN,SilverShield Medical Group,1715 Lake Shore Dr,Rockford,IL,61101,(722) 964-9499,Yes,"Bronze,Silver,Gold",No,English,Lake Shore Medical Center
1929296154,Fatima,Hernandez,MD,Radiology,SilverShield Medical Group,8009 Oak Ave,Aurora,IL,60505,(625) 287-2901,Yes,Gold,No,"English,Mandarin",Lake Shore Medical Center
1942103498,Karen,Lopez,NP,Radiology,Community Care Clinic,1699 University Ave,Peoria,IL,61602,(526) 268-5919,Yes,"Bronze,Silver,Gold",Yes,"English,Spanish,Portuguese",Prairie Community Hospital
1795752405,Michael,Anderson,MD,Urology,Prairie Regional Medical,9142 Maple Dr,Joliet,IL,60431,(773) 636-8570,Yes,"Bronze,Silver,Gold",Yes,"English,Spanish",N/A (outpatient only)
1805778992,Dorothy,Patel,MD,Occupational Therapy,Great Lakes Health System,7465 Center Rd,Evanston,IL,60201,(598) 204-4519,Yes,Gold,Yes,"English,Hindi",Springfield General Hospital
1958459117,Wei,Thomas,DO,Oncology,Great Lakes Health System,7596 Oak Ave,Aurora,IL,60505,(886) 701-9646,Yes,"Bronze,Silver,Gold",Yes,"English,Hindi",Lake Shore Medical Center
1730291513,Linda,Walker,DO,General Surgery,Community Care Clinic,2926 Lake Shore Dr,Decatur,IL,62521,(804) 286-3194,Yes,"Bronze,Silver,Gold",Yes,"English,Mandarin",Springfield General Hospital
1296542559,Sandra,Taylor,PA-C,Endocrinology,University Health Associates,9871 Maple Dr,Decatur,IL,62521,(592) 633-4043,No,"Bronze,Silver,Gold",Yes,"English,Hindi",Midwest Regional Medical Center
1625749126,Charles,Wilson,MD,Oncology,Community Care Clinic,978 Medical Center Dr,Springfield,IL,62701,(696) 339-4196,No,"Bronze,Silver,Gold",Yes,English,N/A (outpatient only)
1627986647,Mark,Kim,NP,Orthopedics,Midwest Health Partners,9363 Main St,Rockford,IL,61101,(499) 233-5503,Yes,"Bronze,Silver,Gold",No,"English,Spanish",Lake Shore Medical Center
1707362554,Rahul,Perez,PA-C,OB/GYN,Midwest Health Partners,4489 Commerce St,Joliet,IL,60431,(755) 974-1681,No,"Bronze,Silver,Gold",Yes,English,Springfield General Hospital
1890261845,Lisa,Allen,MD,Rheumatology,Heartland Medical Associates,5811 Oak Ave,Peoria,IL,61602,(320) 994-4882,Yes,"Bronze,Silver,Gold",No,"English,Spanish,Portuguese",N/A (outpatient only)
1755263618,Dorothy,Anderson,MD,Cardiology,Great Lakes Health System,3490 Main St,Decatur,IL,62521,(559) 745-5605,Yes,Gold,No,"English,Mandarin",University Medical Center
1387057426,Aisha,Miller,MD,Speech Therapy,University Health Associates,1071 Lake Shore Dr,Naperville,IL,60540,(918) 335-5090,Yes,Gold,Yes,"English,Spanish,Portuguese",N/A (outpatient only)
1521659217,Rahul,Taylor,MD,Emergency Medicine,Heartland Medical Associates,6886 Health Plaza,Peoria,IL,61602,(277) 848-2525,No,"Bronze,Silver,Gold",No,"English,French",Prairie Community Hospital
1588225728,Rahul,Clark,MD,Family Medicine,Midwest Health Partners,7611 Medical Center Dr,Chicago,IL,60601,(747) 607-4568,No,"Silver,Gold",Yes,"English,Mandarin",Prairie Community Hospital
1989427187,Charles,Lewis,PA-C,Infectious Disease,Prairie Regional Medical,9375 University Ave,Joliet,IL,60431,(898) 980-1793,Yes,"Bronze,Silver,Gold",Yes,English,Springfield General Hospital
1269633510,Donald,Chen,MD,Pulmonology,Great Lakes Health System,2261 Lake Shore Dr,Naperville,IL,60540,(480) 295-6905,Yes,"Bronze,Silver,Gold",No,"English,French",N/A (outpatient only)
1277731206,Patricia,Patel,MD,Occupational Therapy,Great Lakes Health System,7132 Oak Ave,Chicago,IL,60601,(201) 418-8812,Yes,"Silver,Gold",Yes,"English,Hindi",N/A (outpatient only)
1577886922,James,Smith,DO,Plastic Surgery,Midwest Health Partners,7019 Maple Dr,Peoria,IL,61602,(272) 434-7276,Yes,"Bronze,Silver,Gold",Yes,"English,Mandarin",Prairie Community Hospital
1421322967,William,King,MD,Emergency Medicine,Prairie Regional Medical,1220 Commerce St,Decatur,IL,62521,(208) 824-3688,No,Gold,Yes,"English,French",N/A (outpatient only)
1262536735,Mark,Carter,NP,General Surgery,Great Lakes Health System,1520 Oak Ave,Naperville,IL,60540,(970) 326-7291,Yes,"Bronze,Silver,Gold",No,"English,Spanish,Portuguese",Midwest Regional Medical Center
1366058599,Nancy,Garcia,MD,Nephrology,Heartland Medical Associates,539 Lake Shore Dr,Rockford,IL,61101,(730) 821-9348,Yes,"Bronze,Silver,Gold",No,"English,French",Springfield General Hospital
1941600554,Lisa,Martinez,MD,OB/GYN,Great Lakes Health System,8285 Center Rd,Chicago,IL,60601,(740) 212-6916,Yes,"Silver,Gold",Yes,"English,Spanish,Portuguese",University Medical Center
1551898779,Sandra,Gonzalez,MD,Speech Therapy,Community Care Clinic,1295 Main St,Decatur,IL,62521,(269) 214-5295,Yes,"Bronze,Silver,Gold",Yes,"English,Spanish,Portuguese",Lake Shore Medical Center
1643968992,Charles,Hernandez,MD,Pulmonology,University Health Associates,1450 Commerce St,Champaign,IL,61820,(830) 356-5546,Yes,Gold,Yes,"English,Hindi",Midwest Regional Medical Center
1967647911,Barbara,Gonzalez,DO,Endocrinology,Midwest Health Partners,5181 Health Plaza,Rockford,IL,61101,(259) 450-2412,No,"Bronze,Silver,Gold",Yes,"English,Hindi",University Medical Center
1159086532,Betty,Thomas,DO,Family Medicine,Prairie Regional Medical,285 Maple Dr,Peoria,IL,61602,(555) 735-9474,Yes,"Silver,Gold",No,"English,Spanish",N/A (outpatient only)
1938725480,Nancy,Davis,MD,Oncology,University Health Associates,4556 Commerce St,Chicago,IL,60601,(469) 929-2262,No,"Bronze,Silver,Gold",No,English,Lake Shore Medical Center
1708689346,David,Hall,MD,Gastroenterology,Midwest Health Partners,9502 Oak Ave,Rockford,IL,61101,(958) 721-1042,Yes,"Bronze,Silver,Gold",Yes,English,Lake Shore Medical Center
1490816787,Anthony,Taylor,MD,Pain Management,SilverShield Medical Group,9158 Health Plaza,Rockford,IL,61101,(529) 454-7819,Yes,Gold,Yes,"English,Hindi",Prairie Community Hospital
1228205773,Aisha,Brown,MD,Neurology,SilverShield Medical Group,6668 Oak Ave,Peoria,IL,61602,(489) 992-6090,Yes,"Bronze,Silver,Gold",Yes,English,Prairie Community Hospital
1315469014,Charles,Wilson,MD,Occupational Therapy,Great Lakes Health System,7700 Medical Center Dr,Decatur,IL,62521,(705) 991-4201,Yes,"Silver,Gold",Yes,English,Springfield General Hospital
1350179421,Wei,Walker,MD,Oncology,SilverShield Medical Group,6264 Lake Shore Dr,Chicago,IL,60601,(410) 742-4902,No,"Bronze,Silver,Gold",Yes,"English,Spanish",N/A (outpatient only)
1400460098,Jennifer,Williams,MD,Vascular Surgery,University Health Associates,6202 University Ave,Chicago,IL,60601,(794) 297-9280,Yes,"Bronze,Silver,Gold",Yes,"English,Hindi",University Medical Center
1166875719,Dorothy,Wilson,MD,Psychiatry,Heartland Medical Associates,5261 Health Plaza,Joliet,IL,60431,(525) 663-5455,Yes,"Bronze,Silver,Gold",Yes,"English,Spanish",University Medical Center
1217008688,Barbara,Miller,MD,Rheumatology,Community Care Clinic,5245 Health Plaza,Chicago,IL,60601,(748) 566-4401,No,Gold,Yes,"English,Mandarin",Springfield General Hospital
1197088689,David,Allen,MD,Internal Medicine,Great Lakes Health System,5470 Maple Dr,Chicago,IL,60601,(928) 454-6828,No,"Bronze,Silver,Gold",Yes,"English,French",Prairie Community Hospital
1379351967,Susan,Johnson,MD,General Surgery,Community Care Clinic,9208 Commerce St,Rockford,IL,61101,(296) 673-2669,Yes,"Bronze,Silver,Gold",Yes,English,Midwest Regional Medical Center
1240354421,Richard,Patel,DO,Urgent Care,Midwest Health Partners,9640 Center Rd,Aurora,IL,60505,(276) 222-2056,Yes,"Bronze,Silver,Gold",Yes,English,Prairie Community Hospital
1231563076,Robert,Chen,MD,Orthopedics,University Health Associates,6571 University Ave,Springfield,IL,62701,(591) 899-7990,Yes,Gold,Yes,"English,Spanish",Prairie Community Hospital
1400491536,Donald,Taylor,MD,Hematology,Great Lakes Health System,4935 University Ave,Evanston,IL,60201,(763) 690-1999,Yes,Gold,Yes,"English,Spanish",Lake Shore Medical Center
1314166184,Chen,Martin,PA-C,Allergy & Immunology,SilverShield Medical Group,6366 Medical Center Dr,Peoria,IL,61602,(757) 696-6636,Yes,"Bronze,Silver,Gold",No,"English,Spanish",Springfield General Hospital
1442392183,Omar,Harris,MD,Vascular Surgery,Heartland Medical Associates,1059 University Ave,Champaign,IL,61820,(566) 985-4813,Yes,"Bronze,Silver,Gold",Yes,"English,French",Midwest Regional Medical Center
1386181187,Wei,Brown,MD,Infectious Disease,University Health Associates,5913 Maple Dr,Naperville,IL,60540,(442) 806-6210,Yes,"Bronze,Silver,Gold",Yes,"English,French",N/A (outpatient only)
1477615830,Carlos,Wilson,MD,Infectious Disease,Great Lakes Health System,8164 Commerce St,Aurora,IL,60505,(379) 702-1621,Yes,"Bronze,Silver,Gold",Yes,"English,Hindi",Midwest Regional Medical Center
1121397518,Chen,Rodriguez,MD,Oncology,Great Lakes Health System,2237 Medical Center Dr,Naperville,IL,60540,(531) 260-1359,Yes,"Bronze,Silver,Gold",Yes,"English,Spanish,Portuguese",Springfield General Hospital
1665104817,Sandra,Jones,DO,Physical Therapy,University Health Associates,9701 Oak Ave,Joliet,IL,60431,(509) 530-3235,Yes,"Bronze,Silver,Gold",Yes,"English,French",Prairie Community Hospital
1287048690,Maria,Carter,DO,Neurology,Prairie Regional Medical,6299 Lake Shore Dr,Aurora,IL,60505,(330) 381-1029,No,"Bronze,Silver,Gold",Yes,"English,Spanish",University Medical Center
1441682804,Yuki,Harris,MD,OB/GYN,Community Care Clinic,2404 Medical Center Dr,Chicago,IL,60601,(443) 555-6234,Yes,"Bronze,Silver,Gold",No,English,Springfield General Hospital
1384769690,Karen,Martin,DO,Radiology,Heartland Medical Associates,1870 Main St,Springfield,IL,62701,(595) 648-7875,Yes,"Bronze,Silver,Gold",Yes,English,Prairie Community Hospital
1686288768,Anthony,Miller,NP,Allergy & Immunology,Great Lakes Health System,2764 University Ave,Chicago,IL,60601,(234) 501-1328,Yes,Gold,Yes,English,Prairie Community Hospital
1282649071,Anthony,Anderson,DO,Nephrology,Midwest Health Partners,5636 Center Rd,Decatur,IL,62521,(694) 921-1507,No,"Silver,Gold",Yes,"English,Spanish",Springfield General Hospital
1208724746,Margaret,White,MD,Pulmonology,Heartland Medical Associates,4712 Lake Shore Dr,Rockford,IL,61101,(298) 250-7437,No,"Silver,Gold",Yes,"English,Mandarin",Springfield General Hospital
1559138405,Jennifer,Young,MD,Ophthalmology,Great Lakes Health System,1689 Main St,Rockford,IL,61101,(374) 853-5781,Yes,"Bronze,Silver,Gold",Yes,"English,Mandarin",Lake Shore Medical Center
1605672755,Rahul,Thompson,DO,Emergency Medicine,University Health Associates,3129 Medical Center Dr,Evanston,IL,60201,(578) 391-8303,Yes,Gold,Yes,English,Prairie Community Hospital
1342925794,Nancy,Wilson,MD,Cardiology,Midwest Health Partners,1504 Medical Center Dr,Champaign,IL,61820,(623) 974-4727,Yes,"Bronze,Silver,Gold",Yes,"English,Hindi",N/A (outpatient only)
1609838807,Carlos,Martin,NP,Psychiatry,Midwest Health Partners,6568 Main St,Champaign,IL,61820,(784) 729-3415,Yes,"Bronze,Silver,Gold",Yes,"English,Spanish",Midwest Regional Medical Center
1968078090,Richard,Wilson,MD,Pulmonology,Midwest Health Partners,7233 Park Blvd,Naperville,IL,60540,(809) 464-6238,Yes,"Bronze,Silver,Gold",Yes,"English,Hindi",Lake Shore Medical Center
1692763677,Daniel,Moore,PA-C,Rheumatology,SilverShield Medical Group,9726 Commerce St,Evanston,IL,60201,(315) 624-3451,Yes,"Bronze,Silver,Gold",Yes,English,University Medical Center
1937029745,Michael,Young,PA-C,Vascular Surgery,Independent Practice,6832 Lake Shore Dr,Evanston,IL,60201,(870) 697-8750,Yes,"Silver,Gold",No,English,Midwest Regional Medical Center
1763834967,Omar,Patel,MD,Endocrinology,Independent Practice,3992 Main St,Peoria,IL,61602,(475) 581-1331,Yes,Gold,No,"English,Mandarin",Lake Shore Medical Center
1847520637,Michael,Harris,MD,Psychiatry,Community Care Clinic,5357 Lake Shore Dr,Evanston,IL,60201,(819) 861-2462,Yes,"Bronze,Silver,Gold",Yes,"English,Spanish,Portuguese",Lake Shore Medical Center
1895583423,Rahul,Lopez,DO,Plastic Surgery,SilverShield Medical Group,8542 Maple Dr,Chicago,IL,60601,(518) 926-9303,No,"Silver,Gold",Yes,"English,Spanish",Midwest Regional Medical Center
1994351711,Richard,Brown,MD,Internal Medicine,Community Care Clinic,928 Medical Center Dr,Rockford,IL,61101,(480) 577-8605,No,"Bronze,Silver,Gold",Yes,"English,Spanish",Prairie Community Hospital
1624830763,Omar,Kim,MD,General Surgery,Community Care Clinic,9715 Commerce St,Joliet,IL,60431,(552) 367-5237,Yes,Gold,Yes,English,Springfield General Hospital
1274920492,Carlos,White,MD,Emergency Medicine,Great Lakes Health System,3487 Lake Shore Dr,Evanston,IL,60201,(725) 220-1145,No,"Silver,Gold",Yes,"English,Hindi",Springfield General Hospital
1340271240,Thomas,Nelson,MD,Physical Therapy,Heartland Medical Associates,7043 Health Plaza,Joliet,IL,60431,(670) 458-4575,No,Gold,Yes,"English,Hindi",Springfield General Hospital
1107889398,Aisha,Hall,PA-C,Emergency Medicine,Heartland Medical Associates,4990 Oak Ave,Peoria,IL,61602,(265) 544-5529,Yes,Gold,No,"English,French",N/A (outpatient only)
1799506796,Betty,Jackson,MD,Urology,Great Lakes Health System,1030 Center Rd,Evanston,IL,60201,(876) 527-3292,Yes,"Bronze,Silver,Gold",No,"English,Mandarin",Lake Shore Medical Center
1534434754,Anthony,Williams,MD,Physical Therapy,Great Lakes Health System,5722 Park Blvd,Champaign,IL,61820,(853) 687-6873,Yes,"Silver,Gold",Yes,"English,Mandarin",Springfield General Hospital
1605497119,William,Thompson,PA-C,Speech Therapy,Prairie Regional Medical,5599 Oak Ave,Rockford,IL,61101,(563) 428-6031,No,Gold,No,"English,Mandarin",University Medical Center
1415734988,Emily,Davis,NP,Internal Medicine,Midwest Health Partners,7836 Park Blvd,Champaign,IL,61820,(322) 897-7253,Yes,"Bronze,Silver,Gold",Yes,"English,Spanish,Portuguese",Midwest Regional Medical Center
1247494816,Richard,Lewis,MD,Infectious Disease,Community Care Clinic,2446 Medical Center Dr,Naperville,IL,60540,(997) 282-8988,Yes,"Silver,Gold",No,"English,French",Springfield General Hospital
1105061082,Donald,Moore,MD,Speech Therapy,Prairie Regional Medical,9541 Maple Dr,Peoria,IL,61602,(981) 998-2442,Yes,"Bronze,Silver,Gold",Yes,"English,French",Lake Shore Medical Center
1533140455,Dorothy,Rodriguez,MD,Family Medicine,SilverShield Medical Group,8845 Park Blvd,Joliet,IL,60431,(214) 529-9700,Yes,"Bronze,Silver,Gold",Yes,"English,French",N/A (outpatient only)
1367171793,Joseph,Walker,MD,Cardiology,Midwest Health Partners,6384 Commerce St,Decatur,IL,62521,(513) 371-2069,Yes,Gold,No,English,N/A (outpatient only)
1658655427,Omar,Lopez,DO,Pulmonology,Prairie Regional Medical,5715 University Ave,Joliet,IL,60431,(968) 392-3701,No,"Bronze,Silver,Gold",Yes,"English,Spanish",N/A (outpatient only)
1240881133,Karen,Johnson,MD,Urology,Prairie Regional Medical,2117 Medical Center Dr,Springfield,IL,62701,(584) 855-5190,Yes,"Bronze,Silver,Gold",Yes,"English,French",Springfield General Hospital
1801762883,Mary,Brown,DO,Pulmonology,Community Care Clinic,6330 Oak Ave,Champaign,IL,61820,(458) 685-3508,Yes,"Bronze,Silver,Gold",No,English,N/A (outpatient only)
1208426285,Chen,Moore,MD,Hematology,Prairie Regional Medical,6962 Oak Ave,Champaign,IL,61820,(936) 832-2928,Yes,"Bronze,Silver,Gold",Yes,English,Midwest Regional Medical Center
1753910715,Richard,Thompson,PA-C,Dermatology,Independent Practice,6813 Lake Shore Dr,Naperville,IL,60540,(240) 761-9132,Yes,"Bronze,Silver,Gold",No,"English,Spanish",Springfield General Hospital
1113689561,Jennifer,Davis,MD,Urgent Care,Community Care Clinic,2543 Oak Ave,Champaign,IL,61820,(276) 940-2659,Yes,"Silver,Gold",Yes,"English,Mandarin",Prairie Community Hospital
1598514021,Patricia,Miller,MD,General Surgery,SilverShield Medical Group,4860 Medical Center Dr,Joliet,IL,60431,(636) 956-2898,Yes,"Bronze,Silver,Gold",Yes,"English,Spanish,Portuguese",Midwest Regional Medical Center
1812272035,David,Lewis,DO,Vascular Surgery,Community Care Clinic,4495 Oak Ave,Joliet,IL,60431,(550) 387-2865,No,"Bronze,Silver,Gold",Yes,"English,Mandarin",Lake Shore Medical Center
1840777094,Priya,Gupta,MD,OB/GYN,Prairie Regional Medical,1060 Maple Dr,Chicago,IL,60601,(626) 804-8908,No,"Silver,Gold",Yes,"English,Spanish,Portuguese",Prairie Community Hospital
1756441105,Mary,Wilson,NP,Pain Management,Community Care Clinic,1950 Health Plaza,Peoria,IL,61602,(247) 264-5286,Yes,"Bronze,Silver,Gold",Yes,"English,French",Prairie Community Hospital
1657379037,Chen,Carter,DO,Pulmonology,Great Lakes Health System,7995 Medical Center Dr,Evanston,IL,60201,(352) 771-1894,Yes,"Silver,Gold",Yes,"English,Spanish,Portuguese",Lake Shore Medical Center
1277601056,John,Martinez,DO,Neurology,Independent Practice,4657 Main St,Champaign,IL,61820,(428) 763-7203,No,"Silver,Gold",Yes,English,Lake Shore Medical Center
1960347752,Carlos,Kim,DO,General Surgery,Community Care Clinic,7424 Medical Center Dr,Chicago,IL,60601,(709) 963-1291,Yes,"Bronze,Silver,Gold",Yes,English,University Medical Center
1689590340,James,Garcia,MD,Hematology,Heartland Medical Associates,8428 Commerce St,Rockford,IL,61101,(870) 887-8474,Yes,Gold,Yes,"English,Spanish,Portuguese",Midwest Regional Medical Center
1587972689,Margaret,Perez,MD,Hematology,Community Care Clinic,6052 University Ave,Chicago,IL,60601,(299) 977-4633,Yes,Gold,No,"English,Spanish,Portuguese",N/A (outpatient only)
1958899743,Charles,Perez,PA-C,Radiology,Midwest Health Partners,850 Maple Dr,Peoria,IL,61602,(343) 934-7704,Yes,Gold,Yes,"English,Spanish",Springfield General Hospital
1521869399,Karen,Chen,MD,Physical Therapy,Independent Practice,1865 Health Plaza,Springfield,IL,62701,(848) 888-3018,No,"Bronze,Silver,Gold",Yes,English,Springfield General Hospital
1669474377,Patricia,Perez,MD,Plastic Surgery,Community Care Clinic,8428 Maple Dr,Decatur,IL,62521,(377) 948-3103,Yes,"Bronze,Silver,Gold",No,"English,Hindi",Lake Shore Medical Center
1549537843,Omar,Martin,MD,Endocrinology,Independent Practice,4919 University Ave,Naperville,IL,60540,(341) 622-9393,Yes,"Bronze,Silver,Gold",No,"English,French",N/A (outpatient only)
1694403676,Karen,Jackson,MD,Hematology,Heartland Medical Associates,5757 Maple Dr,Naperville,IL,60540,(715) 755-6281,Yes,Gold,Yes,"English,Hindi",University Medical Center
1816354624,Mark,Gonzalez,MD,Vascular Surgery,University Health Associates,309 Commerce St,Chicago,IL,60601,(225) 590-3381,Yes,"Bronze,Silver,Gold",Yes,"English,Mandarin",Midwest Regional Medical Center
1407751103,Thomas,Taylor,MD,Physical Therapy,Heartland Medical Associates,3442 Commerce St,Springfield,IL,62701,(567) 663-2679,Yes,"Bronze,Silver,Gold",Yes,"English,Spanish",University Medical Center
1942143413,Charles,Brown,MD,Endocrinology,University Health Associates,5222 Commerce St,Springfield,IL,62701,(213) 961-5117,Yes,"Bronze,Silver,Gold",Yes,"English,Spanish,Portuguese",Midwest Regional Medical Center
1780525215,Sandra,Scott,PA-C,Occupational Therapy,Great Lakes Health System,3270 Lake Shore Dr,Peoria,IL,61602,(381) 899-2220,Yes,"Silver,Gold",Yes,English,Springfield General Hospital
1560106760,Nancy,Perez,MD,Cardiology,Prairie Regional Medical,9668 Lake Shore Dr,Springfield,IL,62701,(538) 677-3536,Yes,"Silver,Gold",No,"English,Hindi",Springfield General Hospital
1930712117,Yuki,Allen,NP,Allergy & Immunology,Independent Practice,1294 Medical Center Dr,Champaign,IL,61820,(425) 388-9529,Yes,"Bronze,Silver,Gold",Yes,English,University Medical Center
1676637967,Ashley,Garcia,DO,Neurology,Great Lakes Health System,5537 Medical Center Dr,Joliet,IL,60431,(500) 423-9691,No,"Bronze,Silver,Gold",Yes,English,N/A (outpatient only)
